iter	Passed	Remaining
0	0	98
1	1	87
2	2	83
3	3	77
4	4	77
5	4	75
6	5	74
7	6	72
8	7	72
9	7	71
10	8	70
11	9	69
12	10	68
13	10	67
14	11	66
15	12	65
16	13	64
17	13	63
18	14	62
19	15	61
20	16	60
21	16	59
22	17	59
23	18	58
24	19	57
25	19	56
26	20	55
27	21	54
28	22	54
29	22	53
30	23	52
31	24	51
32	25	51
33	25	50
34	26	49
35	27	48
36	28	48
37	29	47
38	29	46
39	30	45
40	31	44
41	31	43
42	32	42
43	33	42
44	33	41
45	34	40
46	35	39
47	36	39
48	36	38
49	37	37
50	38	36
51	39	36
52	40	35
53	40	34
54	41	33
55	42	33
56	43	32
57	43	31
58	44	31
59	45	30
60	46	29
61	47	29
62	48	28
63	49	27
64	50	27
65	51	26
66	52	25
67	53	25
68	54	24
69	55	23
70	56	23
71	57	22
72	58	21
73	59	20
74	60	20
75	61	19
76	62	18
77	63	17
78	64	17
79	65	16
80	66	15
81	67	14
82	68	13
83	69	13
84	69	12
85	70	11
86	71	10
87	72	9
88	73	9
89	74	8
90	75	7
91	76	6
92	77	5
93	77	4
94	78	4
95	79	3
96	80	2
97	81	1
98	82	0
99	83	0
